MR
"day[1 4], month[9], year[2015]"
"day[1 8], month[1], year[2005]"
"day[0 4], month[8], year[2013]"
"day[2 9], month[4], year[2019]"
"day[2 8], month[8], year[2004]"
"day[3 1], month[9], year[2006]"
"day[1 5], month[12], year[2004]"
"day[0 5], month[2], year[2008]"
"day[0 9], month[6], year[2011]"
"day[0 7], month[2], year[2005]"
"day[0 9], month[9], year[2007]"
"day[2 4], month[7], year[2008]"
"day[1 4], month[4], year[2012]"
"day[2 7], month[9], year[2006]"
"day[1 3], month[9], year[2002]"
"day[1 9], month[8], year[2011]"
"day[0 9], month[2], year[2000]"
"day[0 8], month[6], year[2012]"
"day[2 6], month[8], year[2016]"
"day[3 0], month[3], year[2001]"
"day[2 3], month[10], year[2008]"
"day[1 9], month[4], year[2017]"
"day[2 6], month[10], year[2019]"
"day[1 3], month[8], year[2006]"
"day[1 7], month[4], year[2010]"
"day[2 1], month[3], year[2006]"
"day[2 3], month[12], year[2016]"
"day[0 5], month[11], year[2009]"
"day[2 5], month[6], year[2006]"
"day[2 5], month[3], year[2011]"
"day[1 5], month[8], year[2016]"
"day[2 1], month[3], year[2018]"
"day[1 2], month[12], year[2002]"
"day[0 7], month[5], year[2018]"
"day[1 0], month[1], year[2019]"
"day[2 2], month[12], year[2008]"
"day[1 7], month[12], year[2001]"
"day[0 6], month[3], year[2015]"
"day[1 9], month[11], year[2009]"
"day[0 8], month[1], year[2008]"
"day[1 8], month[5], year[2002]"
"day[1 8], month[9], year[2012]"
"day[2 4], month[2], year[2005]"
"day[2 5], month[2], year[2009]"
"day[0 8], month[2], year[2018]"
"day[0 1], month[1], year[2019]"
"day[2 6], month[11], year[2006]"
"day[2 0], month[2], year[2014]"
"day[1 4], month[12], year[2019]"
"day[0 3], month[12], year[2013]"
"day[2 7], month[1], year[2014]"
"day[1 2], month[11], year[2015]"
"day[0 3], month[5], year[2018]"
"day[0 8], month[4], year[2015]"
"day[0 5], month[7], year[2003]"
"day[1 6], month[5], year[2011]"
"day[2 7], month[8], year[2006]"
"day[0 6], month[7], year[2017]"
"day[0 6], month[5], year[2017]"
"day[0 2], month[1], year[2019]"
"day[1 3], month[3], year[2003]"
"day[1 4], month[9], year[2016]"
"day[2 5], month[8], year[2016]"
"day[1 8], month[8], year[2005]"
"day[2 5], month[10], year[2017]"
"day[2 8], month[8], year[2013]"
"day[2 6], month[2], year[2008]"
"day[0 1], month[2], year[2008]"
"day[0 2], month[1], year[2007]"
"day[0 4], month[1], year[2009]"
"day[2 6], month[2], year[2020]"
"day[2 9], month[11], year[2003]"
"day[2 6], month[5], year[2008]"
"day[1 8], month[10], year[2001]"
"day[1 6], month[2], year[2015]"
"day[1 9], month[5], year[2005]"
"day[1 8], month[3], year[2017]"
"day[1 1], month[12], year[2006]"
"day[1 6], month[4], year[2000]"
"day[1 6], month[7], year[2009]"
"day[1 3], month[8], year[2015]"
"day[1 8], month[12], year[2009]"
"day[1 4], month[3], year[2003]"
"day[1 6], month[2], year[2015]"
"day[1 0], month[5], year[2008]"
"day[2 0], month[9], year[2008]"
"day[2 7], month[4], year[2007]"
"day[2 8], month[6], year[2005]"
"day[2 5], month[4], year[2007]"
"day[1 2], month[7], year[2020]"
"day[0 9], month[5], year[2019]"
"day[0 7], month[8], year[2003]"
"day[0 5], month[3], year[2020]"
"day[2 3], month[10], year[2011]"
