mr,ref
"day[1 4], month[9], year[2015]","It is _MStart_ September _MEnd_ the _oDStart_ fourteenth _oDEnd_ , 2015 .","-1 -1 2 2 2 -1 1 1 1 4 3 -1"
"day[1 8], month[1], year[2005]","It is _nDStart_ eighteen _nDEnd_ _MStart_ January _MEnd_ 2005 .","-1 -1 0 0 0 2 2 2 3 -1"
"day[0 4], month[8], year[2013]","Today is _MStart_ August _MEnd_ the _oDStart_ fourth _oDEnd_ , 2013 .","-1 -1 2 2 2 -1 1 1 1 4 3 -1"
"day[2 9], month[4], year[2019]","Today is _nDStart_ twenty nine _nDEnd_ _MStart_ April _MEnd_ 2019 .","-1 -1 0 0 0 0 2 2 2 3 -1"
"day[2 8], month[8], year[2004]","The date is _MStart_ August _MEnd_ the _oDStart_ twenty eighth _oDEnd_ of the year 2004 .","-1 -1 -1 2 2 2 -1 1 1 1 1 5 -1 -1 3 -1"
"day[3 1], month[9], year[2006]","Today is _MStart_ September _MEnd_ _nDStart_ thirty one _nDEnd_ in the year 2006 .","-1 -1 2 2 2 0 0 0 0 6 -1 -1 3 -1"
"day[1 5], month[12], year[2004]","It is _MStart_ December _MEnd_ _nDStart_ fifteen _nDEnd_ in the year 2004 .","-1 -1 2 2 2 0 0 0 6 -1 -1 3 -1"
"day[0 5], month[2], year[2008]","It is _nDStart_ five _nDEnd_ _MStart_ February _MEnd_ 2008 .","-1 -1 0 0 0 2 2 2 3 -1"
"day[0 9], month[6], year[2011]","Today is _MStart_ June _MEnd_ the _oDStart_ ninth _oDEnd_ of the year 2011 .","-1 -1 2 2 2 -1 1 1 1 5 -1 -1 3 -1"
"day[0 7], month[2], year[2005]","Today is _MStart_ February _MEnd_ _nDStart_ seven _nDEnd_ in the year 2005 .","-1 -1 2 2 2 0 0 0 6 -1 -1 3 -1"
